image,method,original_width,original_height,target_width,target_height,output_width,output_height,removed_seams,elapsed_seconds
astronaut.png,standard,512,512,384,512,384,512,0,0.00272910000057891
astronaut.png,dp,512,512,384,512,384,512,128,41.864137999999
astronaut.png,forward,512,512,384,512,384,512,128,57.3376614000008
astronaut.png,greedy,512,512,384,512,384,512,128,2.3349839999991673
camera.png,standard,512,512,384,512,384,512,0,0.002644700000018929
camera.png,dp,512,512,384,512,384,512,128,34.559370499999204
camera.png,forward,512,512,384,512,384,512,128,69.81360680000034
camera.png,greedy,512,512,384,512,384,512,128,2.3059703999988415
chelsea.png,standard,451,300,338,300,338,300,0,0.0013978000006318325
chelsea.png,dp,451,300,338,300,338,300,113,21.859519499999806
chelsea.png,forward,451,300,338,300,338,300,113,33.41415910000069
chelsea.png,greedy,451,300,338,300,338,300,113,0.9842688999997335
coffee.png,standard,600,400,450,400,450,400,0,0.0036271999997552484
coffee.png,dp,600,400,450,400,450,400,150,50.08719000000019
coffee.png,forward,600,400,450,400,450,400,150,77.63538580000022
coffee.png,greedy,600,400,450,400,450,400,150,2.453409699999611
rocket.png,standard,640,427,480,427,480,427,0,0.004187900000033551
rocket.png,dp,640,427,480,427,480,427,160,59.24133739999888
rocket.png,forward,640,427,480,427,480,427,160,94.38335860000188
rocket.png,greedy,640,427,480,427,480,427,160,2.9118792000008398
