method,height,width,pixels,target_width,removed_seams,elapsed_seconds
dp,128,128,16384,115,13,0.4597430000139866
greedy,128,128,16384,115,13,0.015901700011454523
dp,192,192,36864,173,19,1.4319083000009414
greedy,192,192,36864,173,19,0.049976499984040856
dp,256,256,65536,230,26,3.3967458000115585
greedy,256,256,65536,230,26,0.14509700000053272
dp,320,320,102400,288,32,6.516366199997719
greedy,320,320,102400,288,32,0.24435100000118837
dp,384,384,147456,346,38,11.252544199989643
greedy,384,384,147456,346,38,0.4494612000125926
dp,448,448,200704,403,45,17.97259269998176
greedy,448,448,200704,403,45,0.7192189000197686
dp,512,512,262144,461,51,26.874958300002618
greedy,512,512,262144,461,51,1.0177192999981344
